Orthogroup	Reactor4-bin.4	GCA_000310125.2
OG0000030	CEKMHFBL_03496, CEKMHFBL_02371, CEKMHFBL_04070, CEKMHFBL_02863, CEKMHFBL_03226	lcl|AMXB01000039.1_prot_ENO76438.1_3514
OG0000031	CEKMHFBL_03820	lcl|AMXB01000010.1_prot_ENO81589.1_1357
OG0000031	CEKMHFBL_03273, CEKMHFBL_01847	lcl|AMXB01000004.1_prot_ENO82693.1_652
OG0000032	CEKMHFBL_04121	lcl|AMXB01000042.1_prot_ENO76224.1_3641
OG0000033	CEKMHFBL_02512, CEKMHFBL_00263, CEKMHFBL_02366	lcl|AMXB01000003.1_prot_ENO82797.1_439
OG0000034	CEKMHFBL_01360	lcl|AMXB01000037.1_prot_ENO76690.1_3429
OG0000036	CEKMHFBL_00095	lcl|AMXB01000009.1_prot_ENO81818.1_1309
OG0000036	CEKMHFBL_02849	lcl|AMXB01000009.1_prot_ENO81816.1_1307
OG0000037	CEKMHFBL_04080	lcl|AMXB01000021.1_prot_ENO80041.1_2487
OG0000037	CEKMHFBL_00511, CEKMHFBL_02368	lcl|AMXB01000008.1_prot_ENO81881.1_1109
OG0000038	CEKMHFBL_03869, CEKMHFBL_04060	lcl|AMXB01000003.1_prot_ENO82863.1_505, lcl|AMXB01000051.1_prot_ENO75556.1_3865
OG0000039	CEKMHFBL_01605	lcl|AMXB01000016.1_prot_ENO80871.1_2064, lcl|AMXB01000028.1_prot_ENO78020.1_2968
OG0000040	CEKMHFBL_03123	lcl|AMXB01000023.1_prot_ENO79311.1_2619, lcl|AMXB01000019.1_prot_ENO80581.1_2299
OG0000040	CEKMHFBL_01288	lcl|AMXB01000076.1_prot_ENO74645.1_4216, lcl|AMXB01000011.1_prot_ENO81539.1_1595, lcl|AMXB01000001.1_prot_ENO83291.1_164, lcl|AMXB01000011.1_prot_ENO81542.1_1598, lcl|AMXB01000016.1_prot_ENO80868.1_2061, lcl|AMXB01000008.1_prot_ENO81988.1_1216, lcl|AMXB01000018.1_prot_ENO80698.1_2256, lcl|AMXB01000037.1_prot_ENO76705.1_3444, lcl|AMXB01000013.1_prot_ENO81268.1_1806, lcl|AMXB01000033.1_prot_ENO77183.1_3234, lcl|AMXB01000083.1_prot_ENO74522.1_4236
OG0000042	CEKMHFBL_02780	lcl|AMXB01000051.1_prot_ENO75565.1_3874
OG0000042	CEKMHFBL_03086	lcl|AMXB01000013.1_prot_ENO81198.1_1736
OG0000043	CEKMHFBL_00672	lcl|AMXB01000065.1_prot_ENO74951.1_4088
OG0000043	CEKMHFBL_01825	lcl|AMXB01000018.1_prot_ENO80740.1_2298
OG0000044	CEKMHFBL_00411	lcl|AMXB01000008.1_prot_ENO82005.1_1233
OG0000044	CEKMHFBL_02925	lcl|AMXB01000069.1_prot_ENO74824.1_4138
OG0000045	CEKMHFBL_03652	lcl|AMXB01000002.1_prot_ENO82952.1_212
OG0000046	CEKMHFBL_02706	lcl|AMXB01000025.1_prot_ENO78746.1_2771
OG0000046	CEKMHFBL_01621	lcl|AMXB01000029.1_prot_ENO77783.1_3040
OG0000046	CEKMHFBL_03568	lcl|AMXB01000047.1_prot_ENO75809.1_3768
OG0000047	CEKMHFBL_02147	lcl|AMXB01000013.1_prot_ENO81252.1_1790, lcl|AMXB01000011.1_prot_ENO81514.1_1570, lcl|AMXB01000108.1_prot_ENO74357.1_4275, lcl|AMXB01000014.1_prot_ENO81112.1_1876, lcl|AMXB01000008.1_prot_ENO81994.1_1222, lcl|AMXB01000009.1_prot_ENO81756.1_1247, lcl|AMXB01000004.1_prot_ENO82705.1_664
OG0000050	CEKMHFBL_01280	lcl|AMXB01000092.1_prot_ENO74452.1_4254
OG0000050	CEKMHFBL_01843	lcl|AMXB01000067.1_prot_ENO74876.1_4120, lcl|AMXB01000037.1_prot_ENO76678.1_3417
OG0000051	CEKMHFBL_01682	lcl|AMXB01000048.1_prot_ENO75735.1_3785
OG0000052	CEKMHFBL_03062	lcl|AMXB01000011.1_prot_ENO81537.1_1593, lcl|AMXB01000011.1_prot_ENO81531.1_1587
OG0000052	CEKMHFBL_02105	lcl|AMXB01000013.1_prot_ENO81269.1_1807
OG0000057	CEKMHFBL_02159, CEKMHFBL_01481	lcl|AMXB01000003.1_prot_ENO82804.1_446
OG0000058	CEKMHFBL_00293	lcl|AMXB01000019.1_prot_ENO80629.1_2347, lcl|AMXB01000004.1_prot_ENO82702.1_661
OG0000059	CEKMHFBL_02685	lcl|AMXB01000008.1_prot_ENO81902.1_1130
OG0000060	CEKMHFBL_00562	lcl|AMXB01000033.1_prot_ENO77190.1_3241
OG0000061	CEKMHFBL_01844	lcl|AMXB01000067.1_prot_ENO74875.1_4119, lcl|AMXB01000037.1_prot_ENO76677.1_3416
OG0000062	CEKMHFBL_02889, CEKMHFBL_02890	lcl|AMXB01000047.1_prot_ENO75817.1_3776
OG0000063	CEKMHFBL_01892, CEKMHFBL_01516, CEKMHFBL_01839	lcl|AMXB01000029.1_prot_ENO77797.1_3054
OG0000064	CEKMHFBL_00749	lcl|AMXB01000067.1_prot_ENO74874.1_4118, lcl|AMXB01000026.1_prot_ENO78484.1_2827
OG0000068	CEKMHFBL_03556	lcl|AMXB01000049.1_prot_ENO75670.1_3809, lcl|AMXB01000049.1_prot_ENO75677.1_3816
OG0000069	CEKMHFBL_01596	lcl|AMXB01000098.1_prot_ENO74416.1_4264
OG0000070	CEKMHFBL_01942	lcl|AMXB01000034.1_prot_ENO77063.1_3298
OG0000072	CEKMHFBL_00179, CEKMHFBL_00596	lcl|AMXB01000018.1_prot_ENO80733.1_2291
OG0000073	CEKMHFBL_02400	lcl|AMXB01000019.1_prot_ENO80597.1_2315
OG0000074	CEKMHFBL_01565	lcl|AMXB01000004.1_prot_ENO82576.1_535
OG0000075	CEKMHFBL_01518, CEKMHFBL_02567	lcl|AMXB01000007.1_prot_ENO82111.1_1030
OG0000077	CEKMHFBL_03755	lcl|AMXB01000049.1_prot_ENO75693.1_3832, lcl|AMXB01000057.1_prot_ENO75274.1_3994
OG0000078	CEKMHFBL_03159, CEKMHFBL_01763, CEKMHFBL_04260, CEKMHFBL_01747, CEKMHFBL_01739, CEKMHFBL_02350, CEKMHFBL_01750	lcl|AMXB01000058.1_prot_ENO75237.1_4008
OG0000079	CEKMHFBL_02031	lcl|AMXB01000014.1_prot_ENO81093.1_1857
OG0000079	CEKMHFBL_04068	lcl|AMXB01000053.1_prot_ENO75486.1_3928
OG0000081	CEKMHFBL_01079, CEKMHFBL_03825, CEKMHFBL_02682	lcl|AMXB01000031.1_prot_ENO77423.1_3157
OG0000083	CEKMHFBL_02926	lcl|AMXB01000008.1_prot_ENO81943.1_1171
OG0000084	CEKMHFBL_02852, CEKMHFBL_03745	lcl|AMXB01000017.1_prot_ENO80791.1_2188
OG0000085	CEKMHFBL_02774	lcl|AMXB01000074.1_prot_ENO74682.1_4197, lcl|AMXB01000053.1_prot_ENO75475.1_3917
OG0000086	CEKMHFBL_01118	lcl|AMXB01000058.1_prot_ENO75233.1_4004
OG0000090	CEKMHFBL_01250, CEKMHFBL_00791	lcl|AMXB01000009.1_prot_ENO81864.1_1355
OG0000091	CEKMHFBL_00868	lcl|AMXB01000071.1_prot_ENO74776.1_4165, lcl|AMXB01000041.1_prot_ENO76251.1_3589, lcl|AMXB01000037.1_prot_ENO76686.1_3425, lcl|AMXB01000027.1_prot_ENO78278.1_2914
OG0000092	CEKMHFBL_00867	lcl|AMXB01000008.1_prot_ENO81972.1_1200, lcl|AMXB01000037.1_prot_ENO76687.1_3426, lcl|AMXB01000027.1_prot_ENO78277.1_2913
OG0000093	CEKMHFBL_00180	lcl|AMXB01000012.1_prot_ENO81319.1_1622
OG0000093	CEKMHFBL_00321	lcl|AMXB01000001.1_prot_ENO83228.1_101
OG0000094	CEKMHFBL_03761	lcl|AMXB01000008.1_prot_ENO82017.1_1245, lcl|AMXB01000050.1_prot_ENO75614.1_3833, lcl|AMXB01000041.1_prot_ENO76248.1_3586, lcl|AMXB01000071.1_prot_ENO74774.1_4163
OG0000100	CEKMHFBL_02924, CEKMHFBL_00412	lcl|AMXB01000045.1_prot_ENO75995.1_3714, lcl|AMXB01000008.1_prot_ENO82006.1_1234
OG0000104	CEKMHFBL_02578, CEKMHFBL_00933, CEKMHFBL_02003, CEKMHFBL_00400	lcl|AMXB01000066.1_prot_ENO74903.1_4096, lcl|AMXB01000066.1_prot_ENO74908.1_4101, lcl|AMXB01000099.1_prot_ENO74402.1_4266
OG0000105	CEKMHFBL_03927	lcl|AMXB01000012.1_prot_ENO81375.1_1678
OG0000107	CEKMHFBL_02038, CEKMHFBL_02051	lcl|AMXB01000032.1_prot_ENO77230.1_3164, lcl|AMXB01000060.1_prot_ENO75158.1_4032
OG0000108	CEKMHFBL_00364	lcl|AMXB01000010.1_prot_ENO81629.1_1397
OG0000109	CEKMHFBL_03249	lcl|AMXB01000011.1_prot_ENO81467.1_1523
OG0000110	CEKMHFBL_04111	lcl|AMXB01000005.1_prot_ENO82487.1_782, lcl|AMXB01000049.1_prot_ENO75679.1_3818, lcl|AMXB01000109.1_prot_ENO74354.1_4276, lcl|AMXB01000126.1_prot_ENO74300.1_4293, lcl|AMXB01000101.1_prot_ENO74388.1_4268
OG0000112	CEKMHFBL_03066	lcl|AMXB01000036.1_prot_ENO76822.1_3393, lcl|AMXB01000003.1_prot_ENO82862.1_504, lcl|AMXB01000006.1_prot_ENO82281.1_885
OG0000113	CEKMHFBL_01633	lcl|AMXB01000007.1_prot_ENO82166.1_1085, lcl|AMXB01000026.1_prot_ENO78470.1_2813, lcl|AMXB01000008.1_prot_ENO81986.1_1214, lcl|AMXB01000020.1_prot_ENO80512.1_2394, lcl|AMXB01000014.1_prot_ENO81105.1_1869, lcl|AMXB01000014.1_prot_ENO81094.1_1858, lcl|AMXB01000014.1_prot_ENO81156.1_1920
OG0000114	CEKMHFBL_01770	lcl|AMXB01000007.1_prot_ENO82098.1_1017
OG0000115	CEKMHFBL_03495, CEKMHFBL_03397	lcl|AMXB01000002.1_prot_ENO82991.1_251
OG0000116	CEKMHFBL_03762	lcl|AMXB01000041.1_prot_ENO76247.1_3585, lcl|AMXB01000071.1_prot_ENO74773.1_4162, lcl|AMXB01000008.1_prot_ENO82016.1_1244
OG0000117	CEKMHFBL_03701	lcl|AMXB01000040.1_prot_ENO76342.1_3547
OG0000118	CEKMHFBL_03172, CEKMHFBL_02709, CEKMHFBL_03700	lcl|AMXB01000040.1_prot_ENO76341.1_3546
OG0000119	CEKMHFBL_02707	lcl|AMXB01000040.1_prot_ENO76340.1_3545
OG0000120	CEKMHFBL_03554	lcl|AMXB01000029.1_prot_ENO77752.1_3009
OG0000121	CEKMHFBL_03148	lcl|AMXB01000025.1_prot_ENO78765.1_2790
OG0000121	CEKMHFBL_00614	lcl|AMXB01000020.1_prot_ENO80567.1_2449
OG0000122	CEKMHFBL_00847	lcl|AMXB01000043.1_prot_ENO76125.1_3667
OG0000123	CEKMHFBL_02931	lcl|AMXB01000025.1_prot_ENO78740.1_2765, lcl|AMXB01000047.1_prot_ENO75797.1_3756, lcl|AMXB01000025.1_prot_ENO78730.1_2755, lcl|AMXB01000026.1_prot_ENO78476.1_2819, lcl|AMXB01000025.1_prot_ENO78760.1_2785, lcl|AMXB01000009.1_prot_ENO81822.1_1313, lcl|AMXB01000025.1_prot_ENO78713.1_2738, lcl|AMXB01000034.1_prot_ENO77069.1_3304
OG0000124	CEKMHFBL_02930	lcl|AMXB01000009.1_prot_ENO81821.1_1312, lcl|AMXB01000025.1_prot_ENO78729.1_2754, lcl|AMXB01000025.1_prot_ENO78759.1_2784, lcl|AMXB01000026.1_prot_ENO78475.1_2818, lcl|AMXB01000047.1_prot_ENO75796.1_3755, lcl|AMXB01000025.1_prot_ENO78714.1_2739, lcl|AMXB01000025.1_prot_ENO78742.1_2767, lcl|AMXB01000034.1_prot_ENO77070.1_3305
OG0000125	CEKMHFBL_02377, CEKMHFBL_02375	lcl|AMXB01000040.1_prot_ENO76362.1_3567
OG0000126	CEKMHFBL_01818	lcl|AMXB01000004.1_prot_ENO82632.1_591
OG0000127	CEKMHFBL_03962	lcl|AMXB01000003.1_prot_ENO82841.1_483
OG0000130	CEKMHFBL_00528, CEKMHFBL_00866	lcl|AMXB01000002.1_prot_ENO83023.1_283
OG0000134	CEKMHFBL_02698	lcl|AMXB01000099.1_prot_ENO74401.1_4265, lcl|AMXB01000066.1_prot_ENO74904.1_4097, lcl|AMXB01000066.1_prot_ENO74909.1_4102
OG0000136	CEKMHFBL_03144	lcl|AMXB01000075.1_prot_ENO74651.1_4203
OG0000136	CEKMHFBL_02778	lcl|AMXB01000025.1_prot_ENO78761.1_2786
OG0000137	CEKMHFBL_01578	lcl|AMXB01000009.1_prot_ENO81853.1_1344
OG0000140	CEKMHFBL_03790	lcl|AMXB01000052.1_prot_ENO75499.1_3890
OG0000141	CEKMHFBL_00178, CEKMHFBL_04179	lcl|AMXB01000001.1_prot_ENO83241.1_114
OG0000142	CEKMHFBL_04026, CEKMHFBL_00213	lcl|AMXB01000011.1_prot_ENO81554.1_1610
OG0000143	CEKMHFBL_02389	lcl|AMXB01000009.1_prot_ENO81802.1_1293
OG0000143	CEKMHFBL_02705	lcl|AMXB01000025.1_prot_ENO78744.1_2769
OG0000144	CEKMHFBL_04048	lcl|AMXB01000022.1_prot_ENO79623.1_2560
OG0000146	CEKMHFBL_03067	lcl|AMXB01000003.1_prot_ENO82861.1_503, lcl|AMXB01000036.1_prot_ENO76821.1_3392
OG0000147	CEKMHFBL_02668	lcl|AMXB01000010.1_prot_ENO81666.1_1434, lcl|AMXB01000006.1_prot_ENO82214.1_818
OG0000148	CEKMHFBL_01918	lcl|AMXB01000015.1_prot_ENO80974.1_1946
OG0000149	CEKMHFBL_02536, CEKMHFBL_02295	lcl|AMXB01000061.1_prot_ENO75115.1_4043
OG0000150	CEKMHFBL_03763	lcl|AMXB01000071.1_prot_ENO74772.1_4161, lcl|AMXB01000041.1_prot_ENO76246.1_3584, lcl|AMXB01000008.1_prot_ENO82015.1_1243
OG0000153	CEKMHFBL_03460	lcl|AMXB01000007.1_prot_ENO82158.1_1077
OG0000155	CEKMHFBL_01186	lcl|AMXB01000007.1_prot_ENO82161.1_1080, lcl|AMXB01000049.1_prot_ENO75674.1_3813
OG0000156	CEKMHFBL_02122	lcl|AMXB01000103.1_prot_ENO74379.1_4270, lcl|AMXB01000015.1_prot_ENO81045.1_2017, lcl|AMXB01000015.1_prot_ENO81044.1_2016
OG0000157	CEKMHFBL_03766	lcl|AMXB01000037.1_prot_ENO76688.1_3427
OG0000159	CEKMHFBL_02102	lcl|AMXB01000009.1_prot_ENO81775.1_1266, lcl|AMXB01000001.1_prot_ENO83242.1_115
OG0000160	CEKMHFBL_01185	lcl|AMXB01000049.1_prot_ENO75673.1_3812, lcl|AMXB01000007.1_prot_ENO82162.1_1081
OG0000162	CEKMHFBL_02470	lcl|AMXB01000014.1_prot_ENO81131.1_1895
OG0000163	CEKMHFBL_02025	lcl|AMXB01000012.1_prot_ENO81409.1_1712, lcl|AMXB01000027.1_prot_ENO78249.1_2885, lcl|AMXB01000009.1_prot_ENO81808.1_1299, lcl|AMXB01000004.1_prot_ENO82699.1_658, lcl|AMXB01000025.1_prot_ENO78720.1_2745, lcl|AMXB01000053.1_prot_ENO75480.1_3922
OG0000166	CEKMHFBL_04093, CEKMHFBL_02528, CEKMHFBL_00457	lcl|AMXB01000038.1_prot_ENO76550.1_3460
OG0000168	CEKMHFBL_02850	lcl|AMXB01000005.1_prot_ENO82423.1_718
OG0000169	CEKMHFBL_03866	lcl|AMXB01000008.1_prot_ENO81930.1_1158
OG0000170	CEKMHFBL_00813	lcl|AMXB01000070.1_prot_ENO74807.1_4151
OG0000171	CEKMHFBL_00639	lcl|AMXB01000009.1_prot_ENO81765.1_1256
OG0000172	CEKMHFBL_01555	lcl|AMXB01000006.1_prot_ENO82211.1_815
OG0000172	CEKMHFBL_00942	lcl|AMXB01000017.1_prot_ENO80800.1_2197
OG0000173	CEKMHFBL_01075	lcl|AMXB01000027.1_prot_ENO78232.1_2868, lcl|AMXB01000004.1_prot_ENO82660.1_619, lcl|AMXB01000009.1_prot_ENO81846.1_1337
OG0000174	CEKMHFBL_03448	lcl|AMXB01000010.1_prot_ENO81660.1_1428, lcl|AMXB01000021.1_prot_ENO80072.1_2518
OG0000175	CEKMHFBL_02917	lcl|AMXB01000027.1_prot_ENO78263.1_2899, lcl|AMXB01000009.1_prot_ENO81856.1_1347, lcl|AMXB01000027.1_prot_ENO78268.1_2904
OG0000176	CEKMHFBL_02358	lcl|AMXB01000021.1_prot_ENO80063.1_2509
OG0000177	CEKMHFBL_01395	lcl|AMXB01000022.1_prot_ENO79637.1_2574
OG0000178	CEKMHFBL_00830	lcl|AMXB01000003.1_prot_ENO82763.1_405, lcl|AMXB01000005.1_prot_ENO82499.1_794, lcl|AMXB01000019.1_prot_ENO80645.1_2363
OG0000180	CEKMHFBL_03497, CEKMHFBL_03502	lcl|AMXB01000026.1_prot_ENO78509.1_2852
OG0000180	CEKMHFBL_01980	lcl|AMXB01000033.1_prot_ENO77209.1_3260
OG0000181	CEKMHFBL_03994	lcl|AMXB01000001.1_prot_ENO83288.1_161, lcl|AMXB01000019.1_prot_ENO80623.1_2341
OG0000182	CEKMHFBL_00817	lcl|AMXB01000005.1_prot_ENO82500.1_795, lcl|AMXB01000032.1_prot_ENO77273.1_3207
OG0000183	CEKMHFBL_00607	lcl|AMXB01000002.1_prot_ENO83093.1_353, lcl|AMXB01000049.1_prot_ENO75676.1_3815, lcl|AMXB01000004.1_prot_ENO82659.1_618
OG0000184	CEKMHFBL_01410	lcl|AMXB01000011.1_prot_ENO81526.1_1582
OG0000186	CEKMHFBL_02742	lcl|AMXB01000001.1_prot_ENO83180.1_53
OG0000188	CEKMHFBL_01609	lcl|AMXB01000006.1_prot_ENO82223.1_827
OG0000189	CEKMHFBL_01271	lcl|AMXB01000001.1_prot_ENO83200.1_73
OG0000194	CEKMHFBL_03402	lcl|AMXB01000010.1_prot_ENO81612.1_1380
OG0000195	CEKMHFBL_03541	lcl|AMXB01000006.1_prot_ENO82237.1_841
OG0000196	CEKMHFBL_01263, CEKMHFBL_03202	lcl|AMXB01000015.1_prot_ENO81028.1_2000, lcl|AMXB01000013.1_prot_ENO81216.1_1754
OG0000197	CEKMHFBL_04235, CEKMHFBL_00670	lcl|AMXB01000065.1_prot_ENO74949.1_4086
OG0000198	CEKMHFBL_03925	lcl|AMXB01000012.1_prot_ENO81373.1_1676
OG0000199	CEKMHFBL_03220, CEKMHFBL_01050	lcl|AMXB01000005.1_prot_ENO82466.1_761
OG0000200	CEKMHFBL_00941	lcl|AMXB01000004.1_prot_ENO82664.1_623
OG0000201	CEKMHFBL_03997	lcl|AMXB01000030.1_prot_ENO77564.1_3065, lcl|AMXB01000032.1_prot_ENO77263.1_3197
OG0000202	CEKMHFBL_03995	lcl|AMXB01000032.1_prot_ENO77261.1_3195
OG0000203	CEKMHFBL_01603	lcl|AMXB01000008.1_prot_ENO81920.1_1148, lcl|AMXB01000091.1_prot_ENO74461.1_4252
OG0000204	CEKMHFBL_01604	lcl|AMXB01000008.1_prot_ENO81919.1_1147, lcl|AMXB01000091.1_prot_ENO74460.1_4251
OG0000205	CEKMHFBL_03490, CEKMHFBL_04054	lcl|AMXB01000009.1_prot_ENO81785.1_1276
OG0000206	CEKMHFBL_02242	lcl|AMXB01000004.1_prot_ENO82676.1_635, lcl|AMXB01000036.1_prot_ENO76806.1_3377
OG0000207	CEKMHFBL_00737	lcl|AMXB01000007.1_prot_ENO82129.1_1048
OG0000209	CEKMHFBL_01423	lcl|AMXB01000004.1_prot_ENO82698.1_657, lcl|AMXB01000014.1_prot_ENO81084.1_1848, lcl|AMXB01000053.1_prot_ENO75470.1_3912
OG0000211	CEKMHFBL_02345	lcl|AMXB01000061.1_prot_ENO75106.1_4034, lcl|AMXB01000004.1_prot_ENO82671.1_630, lcl|AMXB01000052.1_prot_ENO75503.1_3894, lcl|AMXB01000059.1_prot_ENO75194.1_4014, lcl|AMXB01000059.1_prot_ENO75192.1_4012
OG0000212	CEKMHFBL_03707	lcl|AMXB01000003.1_prot_ENO82793.1_435
OG0000213	CEKMHFBL_01779	lcl|AMXB01000026.1_prot_ENO78468.1_2811, lcl|AMXB01000003.1_prot_ENO82794.1_436
OG0000214	CEKMHFBL_00609	lcl|AMXB01000001.1_prot_ENO83161.1_34
OG0000215	CEKMHFBL_01465	lcl|AMXB01000023.1_prot_ENO79341.1_2649, lcl|AMXB01000064.1_prot_ENO74987.1_4078
OG0000216	CEKMHFBL_01467	lcl|AMXB01000048.1_prot_ENO75755.1_3805
OG0000217	CEKMHFBL_01687	lcl|AMXB01000023.1_prot_ENO79289.1_2597
OG0000218	CEKMHFBL_01300	lcl|AMXB01000020.1_prot_ENO80548.1_2430
OG0000219	CEKMHFBL_03673	lcl|AMXB01000042.1_prot_ENO76225.1_3642, lcl|AMXB01000006.1_prot_ENO82339.1_943
OG0000221	CEKMHFBL_03865	lcl|AMXB01000008.1_prot_ENO81931.1_1159, lcl|AMXB01000024.1_prot_ENO79029.1_2713, lcl|AMXB01000038.1_prot_ENO76549.1_3459
OG0000222	CEKMHFBL_01612	lcl|AMXB01000010.1_prot_ENO81709.1_1477
OG0000223	CEKMHFBL_03110	lcl|AMXB01000018.1_prot_ENO80714.1_2272, lcl|AMXB01000027.1_prot_ENO78255.1_2891
OG0000224	CEKMHFBL_03635	lcl|AMXB01000001.1_prot_ENO83287.1_160
OG0000225	CEKMHFBL_03032	lcl|AMXB01000008.1_prot_ENO81897.1_1125
OG0000227	CEKMHFBL_02271	lcl|AMXB01000010.1_prot_ENO81652.1_1420, lcl|AMXB01000025.1_prot_ENO78754.1_2779, lcl|AMXB01000021.1_prot_ENO80056.1_2502
OG0000228	CEKMHFBL_02805	lcl|AMXB01000009.1_prot_ENO81833.1_1324
OG0000229	CEKMHFBL_03068	lcl|AMXB01000001.1_prot_ENO83295.1_168
OG0000230	CEKMHFBL_01223	lcl|AMXB01000003.1_prot_ENO82737.1_379, lcl|AMXB01000009.1_prot_ENO81826.1_1317, lcl|AMXB01000014.1_prot_ENO81137.1_1901, lcl|AMXB01000008.1_prot_ENO81953.1_1181
OG0000231	CEKMHFBL_01643	lcl|AMXB01000035.1_prot_ENO76916.1_3326
OG0000232	CEKMHFBL_02354, CEKMHFBL_03809	lcl|AMXB01000001.1_prot_ENO83206.1_79
OG0000233	CEKMHFBL_00663, CEKMHFBL_00822	lcl|AMXB01000001.1_prot_ENO83217.1_90
OG0000234	CEKMHFBL_04078	lcl|AMXB01000021.1_prot_ENO80037.1_2483
OG0000235	CEKMHFBL_02461, CEKMHFBL_02193	lcl|AMXB01000021.1_prot_ENO80032.1_2478
OG0000236	CEKMHFBL_00479, CEKMHFBL_01122	lcl|AMXB01000007.1_prot_ENO82087.1_1006
OG0000238	CEKMHFBL_01255, CEKMHFBL_03210	lcl|AMXB01000013.1_prot_ENO81224.1_1762
OG0000239	CEKMHFBL_03025, CEKMHFBL_00130	lcl|AMXB01000001.1_prot_ENO83194.1_67
OG0000240	CEKMHFBL_00160	lcl|AMXB01000006.1_prot_ENO82250.1_854, lcl|AMXB01000002.1_prot_ENO83033.1_293
OG0000241	CEKMHFBL_04040	lcl|AMXB01000022.1_prot_ENO79586.1_2523
OG0000242	CEKMHFBL_02405, CEKMHFBL_02128	lcl|AMXB01000006.1_prot_ENO82277.1_881
OG0000243	CEKMHFBL_02489	lcl|AMXB01000011.1_prot_ENO81498.1_1554
OG0000244	CEKMHFBL_00052	lcl|AMXB01000012.1_prot_ENO81328.1_1631
OG0000245	CEKMHFBL_00102	lcl|AMXB01000030.1_prot_ENO77557.1_3058, lcl|AMXB01000010.1_prot_ENO81710.1_1478
OG0000246	CEKMHFBL_02776, CEKMHFBL_03146	lcl|AMXB01000025.1_prot_ENO78763.1_2788
OG0000247	CEKMHFBL_02777, CEKMHFBL_03145	lcl|AMXB01000025.1_prot_ENO78762.1_2787
OG0000248	CEKMHFBL_03621	lcl|AMXB01000023.1_prot_ENO79287.1_2595
OG0000249	CEKMHFBL_00564	lcl|AMXB01000045.1_prot_ENO76001.1_3720
OG0000250	CEKMHFBL_03222, CEKMHFBL_01091	lcl|AMXB01000104.1_prot_ENO74374.1_4271
OG0000251	CEKMHFBL_04198	lcl|AMXB01000011.1_prot_ENO81512.1_1568
OG0000252	CEKMHFBL_01695	lcl|AMXB01000003.1_prot_ENO82727.1_369, lcl|AMXB01000072.1_prot_ENO74751.1_4179, lcl|AMXB01000007.1_prot_ENO82039.1_958
OG0000253	CEKMHFBL_03716	lcl|AMXB01000051.1_prot_ENO75550.1_3859
